,domain,url,urlType,T_totalTweets,T_totalRetweets,T_totalLikes,T_totalReplies,T_span,T_countWeekDay,T_countWeekEnd,T_countMonday,T_countTuesday,T_countWednesday,T_countThursday,T_countFriday,T_countSaturday,T_countSunday,T_avgTimeBetweenTweets,T_avgTimeOfNextTweet,T_timeAbsBin1count0to6,T_timeAbsBin2count6to12,T_timeAbsBin3count12to18,T_timeAbsBin4count18to24,T_timeAbsBin5count24plus,T_avgTweetsPerUniqUser
996,abcnews.go.com,http://abcnews.go.com/International/wireStory/vatican-call-efforts-end-forced-labor-fishing-43697298,Reliable,5,0,0,0,0.933333333,5,0,5,0,0,0,0,0,0,0.233333333,0.6625,5,0,0,0,0,1
997,indianexpress.com,http://indianexpress.com/article/technology/mobile-tabs/citibank-offering-cashback-of-up-to-rs-23000-on-iphone-7-and-ipad-combo-4387342/,Reliable,28,6,7,0,55.83333333,28,0,23,3,2,0,0,0,0,2.067901235,8.558641975,22,1,0,0,5,1.12
998,indianexpress.com,http://indianexpress.com/article/sports/football/inter-milan-geoffrey-kondogbia-stefano-pioli-4388206/,Reliable,7,2,1,0,26.53333333,7,0,4,3,0,0,0,0,0,4.422222222,13.72222222,4,0,0,1,2,1.4
999,indianexpress.com,http://indianexpress.com/article/india/india-news-india/kolkata-fire-at-sskm-hospital-no-casualty-4387541/,Reliable,4,2,9,1,2.716666667,4,0,4,0,0,0,0,0,0,0.905555556,0.933333333,4,0,0,0,0,1.333333333
1000,www.cnbc.com,http://www.cnbc.com/2016/11/21/sell-3m-on-valuation-risk-lack-of-trump-upside-goldman-sachs-says.html,Reliable,22,1,0,0,23.26666667,22,0,21,1,0,0,0,0,0,1.107936508,1.603968254,21,0,0,1,0,1.047619048
1001,www.nydailynews.com,http://www.nydailynews.com/news/national/gay-groups-worry-texas-law-force-schools-students-article-1.2882548,Reliable,9,10,8,6,1251.866667,9,0,3,3,1,0,2,0,0,156.4833333,180.2395833,3,0,2,1,3,1
1002,abcnews.go.com,http://abcnews.go.com/International/73-magnitude-earthquake-reported-fukushima-japan/story?id=43700301,Reliable,175,1342,928,54,23.85,175,0,128,47,0,0,0,0,0,0.137068966,1.954310345,165,4,5,1,0,1.086956522
1003,abcnews.go.com,http://abcnews.go.com/International/wireStory/longtime-beats-sarkozy-french-conservative-primary-43695599,Reliable,5,6,17,5,1.7,5,0,5,0,0,0,0,0,0,0.425,0.925,5,0,0,0,0,1
1004,www.ndtv.com,http://www.ndtv.com/indians-abroad/indian-origin-businessman-admits-stealing-porsche-in-uk-1628443,Reliable,7,0,0,0,2.95,7,0,5,2,0,0,0,0,0,0.491666667,1.122222222,7,0,0,0,0,1.166666667
1005,www.yahoo.com,https://www.yahoo.com/movies/rocky-turns-40-talia-shire-on-her-screen-partnership-with-sylvester-stallone-and-creating-adrian-171233105.html,Reliable,33,41,80,2,176.95,30,3,10,19,1,0,0,3,0,5.5296875,28.58229167,12,12,2,1,6,1.137931034
1006,abcnews.go.com,http://abcnews.go.com/Entertainment/wireStory/selena-gomez-opens-american-music-awards-win-43683024,Reliable,1,0,0,0,-1,1,0,1,0,0,0,0,0,0,-1,-1,1,0,0,0,0,1
1007,www.usatoday.com,http://www.usatoday.com/story/sports/olympics/2016/11/21/2012-olympic-womens-steeplechase-champ-fails-doping-retest/94213040/,Reliable,5,0,0,0,5.533333333,5,0,5,0,0,0,0,0,0,1.383333333,3.816666667,5,0,0,0,0,1.25
1008,abcnews.go.com,http://abcnews.go.com/Entertainment/video/prince-harry-joins-youth-sports-festival-antigua-caribbean-43698110,Reliable,3,0,0,0,1.8,3,0,3,0,0,0,0,0,0,0.9,1.483333333,3,0,0,0,0,1
1009,indianexpress.com,http://indianexpress.com/article/india/india-news-india/house-standoff-on-opposition-wants-pm-to-respond-4388378/,Reliable,14,17,32,8,20.33333333,14,0,7,7,0,0,0,0,0,1.564102564,8.015384615,7,6,0,1,0,1.272727273
1010,abcnews.go.com,http://abcnews.go.com/Business/wireStory/exxon-mobil-headwaters-rise-tyson-foods-tumbles-43701018,Reliable,2,0,0,0,7556.55,2,0,1,1,0,0,0,0,0,7556.55,7556.55,1,0,0,0,1,1
