,domain,url,urlType,T_normTotalTweets,T_normTotalRetweets,T_normTotalLikes,T_normTotalReplies,T_normCountWeekDay,T_normCountWeekEnd,T_normCountMonday,T_normCountTuesday,T_normCountWednesday,T_normCountThursday,T_normCountFriday,T_normCountSaturday,T_normCountSunday,T_normAvgTweetsPerUniqUser,T_normTimeAbsBin1count0to6,T_normTimeAbsBin2count6to12,T_normTimeAbsBin3count12to18,T_normTimeAbsBin4count18to24,T_normTimeAbsBin5count24plus,T_normSpan,T_normAvgTimeBetweenTweets,T_normAvgTimeOfNextTweet,T_percentWeekDayByTotalTweets,T_percentWeekEndByTotalTweets,T_percentMondayByTotalTweets,T_percentTuesdayByTotalTweets,T_percentWednesdayByTotalTweets,T_percentThursdayByTotalTweets,T_percentFridayByTotalTweets,T_percentSaturdayByTotalTweets,T_percentSundayByTotalTweets
3535,www.ndtv.com,http://www.ndtv.com/delhi-news/boy-killed-7-injured-in-wall-collapse-in-delhi-1627297,Reliable,0,0,0,0,0.000284172,0,0,0,0,0,0.007042254,0,0,0,1,0,0,0,0,-1,-1,-1,1,0,0,0,0,0,1,0,0
3536,www.bloomberg.com,https://www.bloomberg.com/view/articles/2016-11-18/trump-can-t-keep-his-immigration-promises,Reliable,0.004528729,0.000188768,0.000160815,0,0.002273373,0.008137432,0.003401361,0,0,0,0.035211268,0.005076142,0.00575374,0.001388889,0.235294118,0.117647059,0.058823529,0,0.588235294,0.037440754,0.005934328,0.004383493,0.470588235,0.529411765,0.176470588,0,0,0,0.294117647,0.235294118,0.294117647
3537,nypost.com,http://nypost.com/2016/11/18/front-page-star-robert-morse-still-misses-mad-men/,Reliable,0.001415228,0,0,0.000553097,0.00170503,0,0,0,0,0,0.042253521,0,0,0.004444444,0.333333333,0.666666667,0,0,0,0.000114778,5.82E-05,0.000121088,1,0,0,0,0,0,1,0,0
3538,www.nytimes.com,http://www.nytimes.com/2016/11/20/arts/dance/tamara-rojo-the-woman-who-has-transformed-english-national-ballet.html,Reliable,0.044438155,0.003256253,0.010345752,0.003318584,0.026427962,0.058770344,0.022675737,0.007513148,0.002962963,0.005063291,0.387323944,0.05964467,0.020713464,0.001030169,0.006329114,0,0,0,0.993670886,0.104646863,0.001690338,0.14758285,0.588607595,0.411392405,0.126582278,0.063291139,0.037974684,0.012658228,0.348101266,0.297468354,0.113924051
3539,nypost.com,http://nypost.com/2016/11/17/2-charged-with-killing-party-goer-and-trying-to-hide-his-corpse/,Reliable,0.004528729,0,0,0,0.004830918,0,0,0,0.000493827,0.020253165,0.056338028,0,0,0,0.529411765,0.117647059,0,0.235294118,0.117647059,0.001536862,0.000243591,0.000325734,1,0,0,0,0.058823529,0.470588235,0.470588235,0,0
3540,www.cbsnews.com,http://www.cbsnews.com/news/donald-trump-offers-national-security-adviser-job-to-michael-flynn/,Reliable,0.011038777,0.000188768,0.000589654,0,0.011082694,0.000904159,0,0,0,0,0.274647887,0.001269036,0,0.002469136,0.675,0.25,0.05,0.025,0,0.000291295,1.89E-05,9.65E-05,0.975,0.025,0,0,0,0,0.975,0.025,0
3541,www.businessinsider.com,http://www.businessinsider.com/r-case-on-trump-worker-contract-raises-conflict-of-interest-question-2016-11,Reliable,0.005943957,0.001462954,0.000857679,0.002212389,0.005967604,0.000904159,0,0,0,0,0.147887324,0.001269036,0,0.002222222,0.818181818,0.045454545,0.090909091,0.045454545,0,0.000272442,3.29E-05,6.84E-05,0.954545455,0.045454545,0,0,0,0,0.954545455,0.045454545,0
3542,www.nba.com,http://www.nba.com/video/2016/11/17/20161117-nightly-notable,Reliable,0.000283046,0,0,0,0.000568343,0,0,0,0,0,0.014084507,0,0,0,1,0,0,0,0,8.29E-07,2.1E-06,1.33E-06,1,0,0,0,0,0,1,0,0
3543,www.theguardian.com,https://www.theguardian.com/world/2016/nov/19/venezuelan-presidents-relatives-guilty-in-us-cocaine-trial,Reliable,0.010189641,0.001415762,0.000911284,0.001106195,0.001136687,0.029837251,0.001133787,0.000751315,0.000493827,0,0.007042254,0.035532995,0.00575374,0.001960784,0.405405405,0.351351351,0.027027027,0.027027027,0.189189189,0.116652741,0.008217494,0.009349127,0.108108108,0.891891892,0.027027027,0.027027027,0.027027027,0,0.027027027,0.756756757,0.135135135
3544,abcnews.go.com,http://abcnews.go.com/Politics/video/mike-pence-attends-broadway-musical-hamilton-family-members-43650213,Reliable,0.002830456,0,5.36E-05,0,0.000284172,0.009041591,0.001133787,0,0,0,0,0.01142132,0.001150748,0.002222222,0.727272727,0.090909091,0,0,0.181818182,0.000724302,0.000183682,0.000195664,0.090909091,0.909090909,0.090909091,0,0,0,0,0.818181818,0.090909091
