,domain,url,urlType,M_dollar,M_dblApostrophe,M_comma,M_-LRB-,M_-RRB-,M_dot,M_colon,M_ADD,M_AFX,M_CC,M_CD,M_DT,M_EX,M_FW,M_HYPH,M_IN,M_JJ,M_JJR,M_JJS,M_LS,M_MD,M_NFP,M_NN,M_NNP,M_NNPS,M_NNS,M_PDT,M_POS,M_PRP,M_PRP$,M_RB,M_RBR,M_RBS,M_RP,M_SYM,M_TO,M_UH,M_VB,M_VBD,M_VBG,M_VBN,M_VBP,M_VBZ,M_WDT,M_WP,M_WP$,M_WRB,M_XX,M__SP,M_dblSpecialApostrophe
3444,abcnews.go.com,http://abcnews.go.com/US/video/surviving-twin-fight-extradition-hawaii-sisters-death-43637965,Reliable,-1,13,9,3,3,7,30,-1,-1,-1,12,-1,-1,-1,8,1,10,-1,-1,-1,2,-1,69,107,8,11,-1,-1,1,-1,6,-1,-1,1,3,-1,-1,4,7,22,7,3,10,-1,-1,-1,-1,-1,-1,13
3445,nypost.com,http://nypost.com/2016/11/18/columbia-suspends-wrestlers-for-vulgar-text-messages/,Reliable,-1,-1,20,-1,-1,16,-1,-1,-1,-1,5,3,-1,-1,5,2,32,-1,1,-1,-1,-1,63,26,1,35,-1,-1,1,-1,14,-1,-1,2,-1,-1,-1,6,17,4,5,7,6,-1,-1,-1,-1,-1,-1,-1
3446,uk.reuters.com,http://uk.reuters.com/article/uk-cricket-india-idUKKBN13E074,Reliable,-1,-1,17,7,7,22,7,-1,-1,-1,26,1,-1,-1,29,8,27,-1,-1,-1,-1,-1,59,172,8,15,-1,-1,-1,-1,8,-1,-1,1,8,-1,-1,3,19,8,4,5,5,-1,-1,-1,-1,-1,-1,-1
3447,nypost.com,http://nypost.com/2016/11/18/racism-stain-on-son-of-trumps-national-security-adviser/,Reliable,-1,-1,32,3,3,20,6,1,-1,-1,11,1,-1,-1,3,1,27,4,-1,-1,2,3,68,93,4,19,-1,-1,3,-1,16,-1,-1,-1,-1,-1,2,10,17,9,2,2,8,-1,-1,-1,-1,-1,-1,-1
3448,www.washingtonpost.com,https://www.washingtonpost.com/news/early-lead/wp/2016/11/16/a-kid-reporter-wasnt-about-to-let-kentuckys-john-calipari-off-the-hook/,Reliable,1,-1,18,2,2,17,-1,-1,-1,1,3,1,1,-1,3,-1,18,1,-1,-1,-1,-1,36,49,2,7,-1,-1,3,-1,13,-1,-1,-1,1,-1,2,7,11,2,1,1,5,-1,-1,-1,-1,-1,-1,-1
3449,abcnews.go.com,http://abcnews.go.com/Politics/trump-removed-nyc-apartment-buildings/story?id=43558025,Reliable,2,8,28,-1,-1,16,1,-1,-1,-1,20,1,-1,-1,3,3,23,-1,-1,-1,2,1,50,59,4,30,-1,-1,-1,-1,5,-1,-1,-1,1,-1,-1,4,15,10,9,3,6,-1,-1,-1,-1,-1,-1,4
3450,www.sfgate.com,http://www.sfgate.com/local/article/Calexit-california-oregon-washington-canada-trump-10616405.php,Reliable,2,4,60,7,7,34,19,-1,-1,1,28,9,-1,-1,8,10,45,3,-1,-1,20,-1,116,200,3,16,-1,-1,18,-1,30,7,-1,1,11,-1,-1,25,25,18,9,21,25,-1,-1,-1,-1,-1,-1,4
3451,uk.reuters.com,http://uk.reuters.com/article/uk-russia-ulyukayev-suspects-idUKKBN13B0GO,Reliable,1,-1,8,2,2,6,3,-1,-1,-1,9,-1,-1,2,2,-1,15,-1,1,-1,6,-1,36,50,-1,17,-1,-1,1,-1,2,-1,-1,-1,2,-1,-1,4,9,6,1,1,1,-1,-1,-1,-1,-1,-1,-1
3452,bleacherreport.com,http://bleacherreport.com/articles/2676182-college-football-playoff-2016-week-12-rankings-released-by-the-committee,Reliable,-1,3,52,3,3,43,6,-1,-1,1,38,2,-1,1,4,14,43,1,4,-1,10,1,131,130,4,45,-1,-1,3,-1,46,-1,-1,-1,2,-1,2,32,18,15,9,14,9,-1,-1,-1,-1,-1,-1,3
3453,www.wsj.com,http://www.wsj.com/articles/mazda-ceo-says-electric-cars-coming-in-2019-1479330903?mod=rss_Technology,Reliable,-1,-1,4,-1,-1,2,1,-1,-1,-1,3,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,8,17,1,6,-1,-1,1,-1,2,-1,-1,-1,-1,-1,-1,2,2,5,1,2,1,-1,-1,-1,-1,-1,-1,-1
